phase,task_id,family,recipient_wording,recipient_label,donor_wording,donor_label,relation,anchor,metric,value,selected_anchor,runner_up_anchor,reader_leakage_ratio,reader_baseline_margin_diff,reader_verified_v_diff,donor_selected_anchor
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,selected_H20_residual_effect,0.20408273115754128,USER_END,ACTION0_END,,,,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,selected_V_sufficiency,0.0964040718972683,USER_END,ACTION0_END,,,,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,selected_V_necessity_loss,0.12556623108685017,USER_END,ACTION0_END,,,,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,OLD_ABSOLUTE,old_absolute_V_sufficiency,-0.02656042017042637,USER_END,ACTION0_END,,,,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,OLD_ABSOLUTE,old_absolute_local_V_necessity_loss,0.08713364228606224,USER_END,ACTION0_END,,,,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION0_END,runner_up_V_sufficiency,0.026765303686261177,USER_END,ACTION0_END,,,,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION0_END,runner_up_V_necessity_loss,0.018009472638368607,USER_END,ACTION0_END,,,,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_verified_v_effect,0.0964040718972683,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_target_sufficiency,0.12424968555569649,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_target_necessity,0.11677886173129082,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_negative_sufficiency,-0.053695352748036385,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_negative_necessity,-0.05467909760773182,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_all7_sufficiency,0.0964040718972683,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_all7_necessity,0.0964040718972683,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_non_kv0_sufficiency,0.0,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,USER_END,reader_non_kv0_necessity,0.0,USER_END,ACTION0_END,0.0,0.0,0.0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,paraphrase,1,opposite_cross_wording,USER_END,cross_selected_V_sufficiency,0.0888407900929451,,,,,,USER_END
confirmation,exp12_test_edit_02,test_edit,canonical,0,paraphrase,1,opposite_cross_wording,USER_END,cross_selected_V_necessity_loss,0.07237805984914303,,,,,,USER_END
