task_idx,task_id,recipient_condition,donor_type,donor_condition,common_suffix_tokens
0,task_000,canonical_test,opposite_same_wording,canonical_impl,103
0,task_000,canonical_test,same_state_cross_wording,paraphrase_test,69
0,task_000,canonical_test,opposite_cross_wording,paraphrase_impl,69
0,task_000,canonical_test,self,canonical_test,268
0,task_000,canonical_impl,opposite_same_wording,canonical_test,103
0,task_000,canonical_impl,same_state_cross_wording,paraphrase_impl,69
0,task_000,canonical_impl,opposite_cross_wording,paraphrase_test,69
0,task_000,canonical_impl,self,canonical_impl,268
0,task_000,paraphrase_test,opposite_same_wording,paraphrase_impl,96
0,task_000,paraphrase_test,same_state_cross_wording,canonical_test,69
0,task_000,paraphrase_test,opposite_cross_wording,canonical_impl,69
0,task_000,paraphrase_test,self,paraphrase_test,252
0,task_000,paraphrase_impl,opposite_same_wording,paraphrase_test,96
0,task_000,paraphrase_impl,same_state_cross_wording,canonical_impl,69
0,task_000,paraphrase_impl,opposite_cross_wording,canonical_test,69
0,task_000,paraphrase_impl,self,paraphrase_impl,252
1,task_001,canonical_test,opposite_same_wording,canonical_impl,121
1,task_001,canonical_test,same_state_cross_wording,paraphrase_test,87
1,task_001,canonical_test,opposite_cross_wording,paraphrase_impl,87
1,task_001,canonical_test,self,canonical_test,287
1,task_001,canonical_impl,opposite_same_wording,canonical_test,121
1,task_001,canonical_impl,same_state_cross_wording,paraphrase_impl,87
1,task_001,canonical_impl,opposite_cross_wording,paraphrase_test,87
1,task_001,canonical_impl,self,canonical_impl,287
1,task_001,paraphrase_test,opposite_same_wording,paraphrase_impl,114
1,task_001,paraphrase_test,same_state_cross_wording,canonical_test,87
1,task_001,paraphrase_test,opposite_cross_wording,canonical_impl,87
1,task_001,paraphrase_test,self,paraphrase_test,271
1,task_001,paraphrase_impl,opposite_same_wording,paraphrase_test,114
1,task_001,paraphrase_impl,same_state_cross_wording,canonical_impl,87
1,task_001,paraphrase_impl,opposite_cross_wording,canonical_test,87
1,task_001,paraphrase_impl,self,paraphrase_impl,271
2,task_002,canonical_test,opposite_same_wording,canonical_impl,120
2,task_002,canonical_test,same_state_cross_wording,paraphrase_test,86
2,task_002,canonical_test,opposite_cross_wording,paraphrase_impl,86
2,task_002,canonical_test,self,canonical_test,284
2,task_002,canonical_impl,opposite_same_wording,canonical_test,120
2,task_002,canonical_impl,same_state_cross_wording,paraphrase_impl,86
2,task_002,canonical_impl,opposite_cross_wording,paraphrase_test,86
2,task_002,canonical_impl,self,canonical_impl,284
2,task_002,paraphrase_test,opposite_same_wording,paraphrase_impl,113
2,task_002,paraphrase_test,same_state_cross_wording,canonical_test,86
2,task_002,paraphrase_test,opposite_cross_wording,canonical_impl,86
2,task_002,paraphrase_test,self,paraphrase_test,268
2,task_002,paraphrase_impl,opposite_same_wording,paraphrase_test,113
2,task_002,paraphrase_impl,same_state_cross_wording,canonical_impl,86
2,task_002,paraphrase_impl,opposite_cross_wording,canonical_test,86
2,task_002,paraphrase_impl,self,paraphrase_impl,268
3,task_003,canonical_test,opposite_same_wording,canonical_impl,103
3,task_003,canonical_test,same_state_cross_wording,paraphrase_test,69
