phase,task_id,family,recipient_wording,recipient_label,donor_wording,donor_label,relation,anchor,metric,value,source_L,kv_head,readers
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,selected_V_sufficiency,0.00457269256003201,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,selected_V_necessity_loss,0.017712153727188706,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,cross_selected_V_sufficiency,-0.008585450588725507,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,same_state_selected_V_control,0.013037160853855312,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,matched_negative_ISSUE_V_sufficiency,0.0001324019394814968,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,old_absolute_V_sufficiency,-0.03030924522317946,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,SYSTEM_END,runner_up_V_sufficiency,0.0044841396156698465,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,SYSTEM_END,runner_up_V_necessity_loss,0.3926495312480256,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_target_pos_sufficiency,-0.004150019725784659,20,0,"1,3,5"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_target_pos_necessity,0.004359694197773933,20,0,"1,3,5"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_negative_neg_sufficiency,0.004708368680439889,20,0,"2,4,6"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_negative_neg_necessity,0.008867411757819355,20,0,"2,4,6"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_non_set_sufficiency,0.0044671285431832075,20,0,"0,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_non_set_necessity,-0.004507813369855285,20,0,"0,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_all28_sufficiency,0.00457269256003201,20,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_all28_necessity,0.00457269256003201,20,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_verified_v_effect,0.00457269256003201,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ACTION1_END,reader_leakage_ratio,0.3440937680304524,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,selected_V_sufficiency,0.030998832604382187,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,selected_V_necessity_loss,0.01773651980329305,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,cross_selected_V_sufficiency,0.057791683764662594,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,same_state_selected_V_control,-0.0665069863316603,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,matched_negative_ISSUE_V_sufficiency,0.01778550201561302,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,old_absolute_V_sufficiency,0.027033706719521433,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,ISSUE_END,runner_up_V_sufficiency,0.01778550201561302,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,ISSUE_END,runner_up_V_necessity_loss,0.013176483626011759,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_target_pos_sufficiency,0.031118495448026806,20,0,"1,3,5"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_target_pos_necessity,0.04889963811729103,20,0,"1,3,5"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_negative_neg_sufficiency,-0.04450606449972838,20,0,"2,4,6"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_negative_neg_necessity,-0.017830950091592968,20,0,"2,4,6"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_non_set_sufficiency,0.004499214643146843,20,0,"0,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_non_set_necessity,0.013327582622878253,20,0,"0,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_all28_sufficiency,0.030998832604382187,20,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_all28_necessity,0.030998832604382187,20,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_verified_v_effect,0.030998832604382187,20,0,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,USER_END,reader_leakage_ratio,0.0842696360057416,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,1,canonical,0,opposite_same_wording,ACTION1_END,selected_V_sufficiency,-0.00836222292855382,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,1,canonical,0,opposite_same_wording,ACTION1_END,selected_V_necessity_loss,-0.0041812714189291,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,1,canonical,0,opposite_same_wording,ACTION1_END,cross_selected_V_sufficiency,-0.004363358486443758,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,1,canonical,0,opposite_same_wording,ACTION1_END,same_state_selected_V_control,0.008246960816904902,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,1,canonical,0,opposite_same_wording,ACTION1_END,matched_negative_ISSUE_V_sufficiency,0.004187228623777628,20,0,
confirmation,exp12_test_edit_02,test_edit,canonical,1,canonical,0,opposite_same_wording,ACTION1_END,old_absolute_V_sufficiency,-0.04992407746613026,20,0,
