partition,task_id,family,wording,label,anchor,anchor_local_index,prompt_position,offset_from_generation_boundary,token_id,token,decoded
confirmation,exp12_test_edit_02,test_edit,canonical,0,SKILL_END,0,35,-108,1172,Ġonly, only
confirmation,exp12_test_edit_02,test_edit,canonical,0,SKILL_END,1,36,-107,1283,Ġafter, after
confirmation,exp12_test_edit_02,test_edit,canonical,0,SKILL_END,2,37,-106,279,Ġthe, the
confirmation,exp12_test_edit_02,test_edit,canonical,0,SKILL_END,3,38,-105,1273,Ġtest, test
confirmation,exp12_test_edit_02,test_edit,canonical,0,SKILL_END,4,39,-104,1102,Ġresult, result
confirmation,exp12_test_edit_02,test_edit,canonical,0,SKILL_END,5,40,-103,382,.ĊĊ,".

"
confirmation,exp12_test_edit_02,test_edit,canonical,0,SYSTEM_END,0,47,-96,29130,Ġdeciding, deciding
confirmation,exp12_test_edit_02,test_edit,canonical,0,SYSTEM_END,1,48,-95,279,Ġthe, the
confirmation,exp12_test_edit_02,test_edit,canonical,0,SYSTEM_END,2,49,-94,1156,Ġfirst, first
confirmation,exp12_test_edit_02,test_edit,canonical,0,SYSTEM_END,3,50,-93,1917,Ġaction, action
confirmation,exp12_test_edit_02,test_edit,canonical,0,SYSTEM_END,4,51,-92,13,.,.
confirmation,exp12_test_edit_02,test_edit,canonical,0,SYSTEM_END,5,52,-91,151645,<|im_end|>,<|im_end|>
confirmation,exp12_test_edit_02,test_edit,canonical,0,ISSUE_END,0,84,-59,17112,Ġtargeted, targeted
confirmation,exp12_test_edit_02,test_edit,canonical,0,ISSUE_END,1,85,-58,1273,Ġtest, test
confirmation,exp12_test_edit_02,test_edit,canonical,0,ISSUE_END,2,86,-57,525,Ġare, are
confirmation,exp12_test_edit_02,test_edit,canonical,0,ISSUE_END,3,87,-56,2176,Ġboth, both
confirmation,exp12_test_edit_02,test_edit,canonical,0,ISSUE_END,4,88,-55,2500,Ġavailable, available
confirmation,exp12_test_edit_02,test_edit,canonical,0,ISSUE_END,5,89,-54,382,.ĊĊ,".

"
confirmation,exp12_test_edit_02,test_edit,canonical,0,DETAIL_END,0,97,-46,1459,Ġpoint, point
confirmation,exp12_test_edit_02,test_edit,canonical,0,DETAIL_END,1,98,-45,374,Ġis, is
confirmation,exp12_test_edit_02,test_edit,canonical,0,DETAIL_END,2,99,-44,1565,Ġ`, `
confirmation,exp12_test_edit_02,test_edit,canonical,0,DETAIL_END,3,100,-43,8966,route,route
confirmation,exp12_test_edit_02,test_edit,canonical,0,DETAIL_END,4,101,-42,7893,_request,_request
confirmation,exp12_test_edit_02,test_edit,canonical,0,DETAIL_END,5,102,-41,62338,`.ĊĊ,"`.

"
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION0_END,0,117,-26,55587,_router,_router
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION0_END,1,118,-25,17932,_edge,_edge
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION0_END,2,119,-24,62,_,_
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION0_END,3,120,-23,15,0,0
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION0_END,4,121,-22,17,2,2
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION0_END,5,122,-21,1138,""")Ċ",""")
"
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION1_END,0,125,-18,2458,_file,_file
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION1_END,1,126,-17,445,"(""","("""
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION1_END,2,127,-16,3548,src,src
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION1_END,3,128,-15,18546,/router,/router
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION1_END,4,129,-14,7197,.py,.py
confirmation,exp12_test_edit_02,test_edit,canonical,0,ACTION1_END,5,130,-13,5130,""")ĊĊ",""")

"
confirmation,exp12_test_edit_02,test_edit,canonical,0,FINAL_INSTRUCTION_END,0,132,-11,279,Ġthe, the
confirmation,exp12_test_edit_02,test_edit,canonical,0,FINAL_INSTRUCTION_END,1,133,-10,3175,Ġsingle, single
confirmation,exp12_test_edit_02,test_edit,canonical,0,FINAL_INSTRUCTION_END,2,134,-9,1790,Ġnext, next
confirmation,exp12_test_edit_02,test_edit,canonical,0,FINAL_INSTRUCTION_END,3,135,-8,1917,Ġaction, action
confirmation,exp12_test_edit_02,test_edit,canonical,0,FINAL_INSTRUCTION_END,4,136,-7,1431,Ġnow, now
confirmation,exp12_test_edit_02,test_edit,canonical,0,FINAL_INSTRUCTION_END,5,137,-6,13,.,.
confirmation,exp12_test_edit_02,test_edit,canonical,0,USER_END,0,133,-10,3175,Ġsingle, single
confirmation,exp12_test_edit_02,test_edit,canonical,0,USER_END,1,134,-9,1790,Ġnext, next
confirmation,exp12_test_edit_02,test_edit,canonical,0,USER_END,2,135,-8,1917,Ġaction, action
confirmation,exp12_test_edit_02,test_edit,canonical,0,USER_END,3,136,-7,1431,Ġnow, now
confirmation,exp12_test_edit_02,test_edit,canonical,0,USER_END,4,137,-6,13,.,.
confirmation,exp12_test_edit_02,test_edit,canonical,0,USER_END,5,138,-5,151645,<|im_end|>,<|im_end|>
confirmation,exp12_test_edit_02,test_edit,canonical,0,GENERATION_BOUNDARY,0,137,-6,13,.,.
confirmation,exp12_test_edit_02,test_edit,canonical,0,GENERATION_BOUNDARY,1,138,-5,151645,<|im_end|>,<|im_end|>
confirmation,exp12_test_edit_02,test_edit,canonical,0,GENERATION_BOUNDARY,2,139,-4,198,Ċ,"
"
confirmation,exp12_test_edit_02,test_edit,canonical,0,GENERATION_BOUNDARY,3,140,-3,151644,<|im_start|>,<|im_start|>
confirmation,exp12_test_edit_02,test_edit,canonical,0,GENERATION_BOUNDARY,4,141,-2,77091,assistant,assistant
confirmation,exp12_test_edit_02,test_edit,canonical,0,GENERATION_BOUNDARY,5,142,-1,198,Ċ,"
"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SKILL_END,0,31,-108,11,",",","
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SKILL_END,1,32,-107,1221,Ġthen, then
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SKILL_END,2,33,-106,1401,Ġlook, look
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SKILL_END,3,34,-105,518,Ġat, at
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SKILL_END,4,35,-104,8129,Ġimplementation, implementation
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SKILL_END,5,36,-103,382,.ĊĊ,".

"
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SYSTEM_END,0,43,-96,29130,Ġdeciding, deciding
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SYSTEM_END,1,44,-95,279,Ġthe, the
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SYSTEM_END,2,45,-94,1156,Ġfirst, first
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SYSTEM_END,3,46,-93,1917,Ġaction, action
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SYSTEM_END,4,47,-92,13,.,.
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,SYSTEM_END,5,48,-91,151645,<|im_end|>,<|im_end|>
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,ISSUE_END,0,80,-59,17112,Ġtargeted, targeted
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,ISSUE_END,1,81,-58,1273,Ġtest, test
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,ISSUE_END,2,82,-57,525,Ġare, are
