phase,task_id,family,recipient_wording,recipient_label,donor_wording,donor_label,relation,anchor,metric,value,source_L,kv_head,readers
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,selected_V_sufficiency,0.2071792632341385,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,selected_V_necessity_loss,0.17966945469379425,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,cross_selected_V_sufficiency,0.21811960637569427,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,same_state_selected_V_control,0.004164144396781921,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,matched_negative_ISSUE_V_sufficiency,0.0023432374000549316,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,old_absolute_V_sufficiency,0.20561669766902924,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ISSUE_END,runner_up_V_sufficiency,0.0023432374000549316,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,ISSUE_END,runner_up_V_necessity_loss,2.099300891160965,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_target_pos_sufficiency,0.22593626379966736,30,4,"0,16,18"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_target_pos_necessity,0.22628659009933472,30,4,"0,16,18"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_negative_neg_sufficiency,-0.019107326865196228,30,4,"1,17,19"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_negative_neg_necessity,-0.01875700056552887,30,4,"1,17,19"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_non_set_sufficiency,0.0,30,4,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_non_set_necessity,0.0,30,4,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_all28_sufficiency,0.2071792632341385,30,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_all28_necessity,0.2071792632341385,30,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_verified_v_effect,0.2071792632341385,30,4,
confirmation,exp12_test_edit_02,test_edit,canonical,0,canonical,1,opposite_same_wording,GENERATION_BOUNDARY,reader_leakage_ratio,0.0,30,4,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,GENERATION_BOUNDARY,selected_V_sufficiency,0.22785845398902893,30,4,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,GENERATION_BOUNDARY,selected_V_necessity_loss,0.2018951177597046,30,4,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,GENERATION_BOUNDARY,cross_selected_V_sufficiency,0.2118796855211258,30,4,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,GENERATION_BOUNDARY,same_state_selected_V_control,-0.004029534757137299,30,4,
confirmation,exp12_test_edit_02,test_edit,paraphrase,0,paraphrase,1,opposite_same_wording,GENERATION_BOUNDARY,matched_negative_ISSUE_V_sufficiency,1.593679189682007e-05,30,4,
