task_idx,task_id,recipient_condition,recipient_wording,donor_condition,donor_label,reader,endpoint,value,non_kv0_delta_ratio
0,task_000,canonical_test,canonical,canonical_impl,1,full_KV0_B5,verified_V_effect,0.05578458309173584,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,0,path_sufficiency,0.032875776290893555,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,0,path_necessity_loss,0.04502463340759277,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,1,path_sufficiency,-0.0015869140625,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,1,path_necessity_loss,0.0021681785583496094,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,2,path_sufficiency,-0.0012153387069702148,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,2,path_necessity_loss,0.0019682645797729492,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,3,path_sufficiency,0.020623445510864258,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,3,path_necessity_loss,0.026549577713012695,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,4,path_sufficiency,0.001348257064819336,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,4,path_necessity_loss,-0.008201360702514648,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,5,path_sufficiency,0.007046103477478027,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,5,path_necessity_loss,0.0034711360931396484,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,6,path_sufficiency,0.002701401710510254,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,6,path_necessity_loss,0.0019420385360717773,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,all7,path_sufficiency,0.05578458309173584,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,all7,path_necessity_loss,0.05578458309173584,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,Q7_Q27,path_sufficiency,0.0,0.0
0,task_000,canonical_test,canonical,canonical_impl,1,Q7_Q27,path_necessity_loss,0.0,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,full_KV0_B5,verified_V_effect,0.07462555170059204,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,0,path_sufficiency,0.045159101486206055,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,0,path_necessity_loss,0.03817504644393921,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,1,path_sufficiency,0.002129197120666504,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,1,path_necessity_loss,-0.004374206066131592,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,2,path_sufficiency,-0.009109139442443848,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,2,path_necessity_loss,-0.01214379072189331,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,3,path_sufficiency,0.04223442077636719,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,3,path_necessity_loss,0.038997113704681396,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,4,path_sufficiency,-0.00891953706741333,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,4,path_necessity_loss,-0.013813495635986328,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,5,path_sufficiency,0.0025804638862609863,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,5,path_necessity_loss,-9.357929229736328e-06,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,6,path_sufficiency,-0.010829150676727295,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,6,path_necessity_loss,-0.005678236484527588,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,all7,path_sufficiency,0.07462555170059204,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,all7,path_necessity_loss,0.07462555170059204,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,Q7_Q27,path_sufficiency,-0.0,0.0
0,task_000,canonical_impl,canonical,canonical_test,0,Q7_Q27,path_necessity_loss,0.0,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,full_KV0_B5,verified_V_effect,0.08665716648101807,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,0,path_sufficiency,0.05466651916503906,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,0,path_necessity_loss,0.044736385345458984,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,1,path_sufficiency,-0.004295825958251953,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,1,path_necessity_loss,-0.005232095718383789,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,2,path_sufficiency,-0.009683370590209961,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,2,path_necessity_loss,-0.009983658790588379,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,3,path_sufficiency,0.029944181442260742,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,3,path_necessity_loss,0.020497918128967285,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,4,path_sufficiency,-0.011722087860107422,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,4,path_necessity_loss,-0.009462952613830566,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,5,path_sufficiency,0.02937483787536621,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,5,path_necessity_loss,0.02728414535522461,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,6,path_sufficiency,-0.007977485656738281,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,6,path_necessity_loss,-0.007360100746154785,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,all7,path_sufficiency,0.08665716648101807,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,all7,path_necessity_loss,0.08665716648101807,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,Q7_Q27,path_sufficiency,0.0,0.0
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,Q7_Q27,path_necessity_loss,0.0,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,full_KV0_B5,verified_V_effect,0.09117037057876587,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,0,path_sufficiency,0.057689011096954346,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,0,path_necessity_loss,0.058231234550476074,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,1,path_sufficiency,-0.0015856027603149414,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,1,path_necessity_loss,5.173683166503906e-05,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,2,path_sufficiency,0.0006808042526245117,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,2,path_necessity_loss,-0.005330443382263184,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,3,path_sufficiency,0.033224403858184814,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,3,path_necessity_loss,0.0405501127243042,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,4,path_sufficiency,-0.008569777011871338,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,4,path_necessity_loss,-0.006196498870849609,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,5,path_sufficiency,0.018438398838043213,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,5,path_necessity_loss,0.0203855037689209,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,6,path_sufficiency,-0.008547604084014893,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,6,path_necessity_loss,-0.008482694625854492,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,all7,path_sufficiency,0.09117037057876587,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,all7,path_necessity_loss,0.09117037057876587,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,Q7_Q27,path_sufficiency,-0.0,0.0
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,Q7_Q27,path_necessity_loss,0.0,0.0
1,task_001,canonical_test,canonical,canonical_impl,1,full_KV0_B5,verified_V_effect,0.027763187885284424,0.0
1,task_001,canonical_test,canonical,canonical_impl,1,0,path_sufficiency,0.02038896083831787,0.0
1,task_001,canonical_test,canonical,canonical_impl,1,0,path_necessity_loss,0.03079599142074585,0.0
1,task_001,canonical_test,canonical,canonical_impl,1,1,path_sufficiency,-0.0021774768829345703,0.0
